100,90,
200,100,
300,127,
400,134,
500,161,
600,169,
700,205,
800,204,
900,232,
1000,249,
1100,249,
1200,276,
1300,281,
1400,304,
1500,324,
1600,343,
1700,356,
1800,359,
1900,363,
2000,377,
2100,412,
2200,389,
2300,421,
2400,458,
2500,441,
2600,469,
2700,527,
2800,485,
2900,494,
3000,531,
3100,536,
3200,540,
3300,557,
3400,583,
3500,607,
3600,633,
3700,699,
3800,618,
3900,654,
4000,675,
4100,704,
4200,692,
4300,715,
4400,688,
4500,728,
4600,752,
4700,845,
4800,814,
4900,817,
5000,793,
5100,825,
5200,817,
5300,869,
5400,890,
5500,904,
5600,871,
5700,978,
5800,904,
5900,985,
6000,939,
6100,940,
6200,976,
6300,1018,
6400,968,
6500,1012,
6600,972,
6700,1066,
6800,1035,
6900,1048,
7000,1132,
7100,1199,
7200,1177,
7300,1155,
7400,1237,
7500,1100,
7600,1155,
7700,1184,
7800,1194,
7900,1181,
8000,1247,
8100,1278,
8200,1248,
8300,1359,
8400,1322,
8500,1286,
8600,1413,
8700,1334,
8800,1291,
8900,1344,
9000,1333,
9100,1431,
9200,1425,
9300,1348,
9400,1523,
9500,1443,
9600,1457,
9700,1474,
9800,1482,
9900,1432,
