E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_02_00,398,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,1080p50,600,/502116/180017/685546/478947/923578/2026144/1528553/2031308,/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51091>173.194.4.39.443,0,5,2,4,8,/1/2/2/1/1/1,/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51091>173.194.4.39.443/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51091>173.194.4.39.443/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51091>173.194.4.39.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_02_00,399,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,1080p50,600,/2207/950460/691087/950460/950460/942358/1381711/1984712/1511867/1580813/2097151/2097151/2097151/2097151/1494182/1318263/2097151/1786732/2097151/1913227/2097151/2097151/2097151/2097151/1586348/1745988/2097151/2097151/2093330/1729024/2097151/2097151/2097151/1330931/1486108/1625241/1381393/2097151/2097151/1969010/1714685/1335131/1287603/2097151/1736444/2026680/1721274/1658058/2097151/2097151/1990401/1323077/1526976/1868468/1619483/2097151/1711142/2024110/2097151/2097151/2089902/1596340/1460829/1980889/1482406/2097151/1889976/2097151/2097151/1571832/2097151/1343339/1542557/2097151/2097151/2097151/1487571/1324004/2097151/2097151/1763566/1413176/1791338/2097151/2097151/1604815/1479656/1573871/1942526/1542117/2097151/2079324/1696755/2097151/1958868/1651315/1513750/1284714/1776661/1532332/1615017/1793173/1580332/809054,/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51910>74.125.171.42.443,0,1,2,0,104,/1/103,/192.168.32.180.51909>74.125.171.42.443/192.168.32.180.51910>74.125.171.42.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_12_44,399,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,720p50,600,/952668/815725/950460/691087/1403764/1439515,/192.168.32.180.52021>74.125.164.233.443,0,0,1,0,6,/6,/192.168.32.180.52021>74.125.164.233.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_12_44,398,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,720p50,600,/2207/499908/423669/619128/1853034/1807841/1445269/1648873/1482690/1522242/1371864/1559401/1372579/1494877/1905070/2079750/1748899/1401996/2097151/1729266/1681849/1836488/1749173/1327308/2097151/1727164/2020952/1439500/2054414/1449624/1810724/1698360/1837919/1997929/2093435/1515693/2030057/1658938/2032576/2097151/1840234/798567/2001159/1484798/1501641/2097151/2043412/1846305/1812481/1593565/1967492/1429905/1981945/1960091/1975241/1503176/1672755/1551288/1876467/1867526/1358678,/192.168.32.180.52022>74.125.164.233.443/192.168.32.180.52038>74.125.164.233.443/192.168.32.180.52048>74.125.96.199.443/192.168.32.180.52050>74.125.164.233.443,0,1,4,0,61,/1/40/3/17,/192.168.32.180.52022>74.125.164.233.443/192.168.32.180.52038>74.125.164.233.443/192.168.32.180.52048>74.125.96.199.443/192.168.32.180.52050>74.125.164.233.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_23_22,397,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,480p,600,/2207/189986/151000/272784/677188/1493224/2047512/2023932/1890167/1957103/1926493/2049692/2044879/1988568/2034019/2021778/1982378/1958059/2072308/2087442/1869855/1883180/2088762/162990,/192.168.32.180.52077>74.125.171.42.443/192.168.32.180.52078>74.125.171.42.443,0,1,2,0,24,/1/23,/192.168.32.180.52077>74.125.171.42.443/192.168.32.180.52078>74.125.171.42.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_34_00,396,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,360p,600,/2207/106348/91428/147935/389954/837944/1612272/1492017/1601626/1580138/1611828/1494893/1598830/1529195/1629598/1590273/1567136/1471033/527539,/192.168.32.180.52146>74.125.171.42.443/192.168.32.180.52145>74.125.171.42.443,0,1,2,0,19,/1/18,/192.168.32.180.52146>74.125.171.42.443/192.168.32.180.52145>74.125.171.42.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_44_37,395,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,240p,600,/2207/65535/40839/77483/200531/434745/688972/721253/705624/700386/738409/679654/734679/711428/727715/688890/718658/732066/703948/354723,/192.168.32.180.52229>74.125.171.42.443/192.168.32.180.52230>74.125.171.42.443/192.168.32.180.52250>74.125.164.233.443/192.168.32.180.52251>74.125.171.42.443,0,1,4,0,20,/1/10/1/8,/192.168.32.180.52229>74.125.171.42.443/192.168.32.180.52230>74.125.171.42.443/192.168.32.180.52250>74.125.164.233.443/192.168.32.180.52251>74.125.171.42.443
E:\\pcap_data\\VBR_dataset1\\mitm\0_2023_04_07_22_55_15,394,video,https://www.youtube.com/watch?v=_jUJrIWp2I4,144p,600,/2207/49194/40905/94017/171030/288858/288626/296812/292796/311958/295207/291359/315025/295206/286654/285083/310526/283962/315042/297514/275650/85004,/192.168.32.180.52284>74.125.171.42.443/192.168.32.180.52302>74.125.171.42.443,0,1,2,0,22,/1/21,/192.168.32.180.52284>74.125.171.42.443/192.168.32.180.52302>74.125.171.42.443
E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_05_47_43,303,video,https://www.youtube.com/watch?v=5b_lIKhvThM,1080p50,600,/4593/1118977/1118977/1118977/1118977/1015789/1118977/1282481/2097151/1506774/2044376/2097151/2097151/2040041/2097151/2097151/1284267/1690152/1684946/2097151/1573440/2097151/2097151/1278036/1984427/2097151/2038075/2097151/2097151/2097151/2097151/2097151/1874193/2097151/2097151/2097151/2097151/2097151/1387800/2097151/2097151/2097151/1556513/2097151/2097151/2097151/2097151/2097151/2097151/2097151/2097151/2097151/2097151/1360048/2097151/2097151/2097151/2020628/1925290/1721646/2097151/1283612/1450709/2097151/1969655/1521877/2097151/1261327/1783490/2097151/2097151/2097151/1656393/2097151/2097151/2097151/1783698/1442818/2097151/1731052/1922352/2097151/1375447/2097151/2097151/1578053/2097151/1332989/1801506/1458137/2011320/1914274/1445567/2097151/1551493/1423851/2015940/2097151/1961163/2064056/2097151/2097151/1425930/2063789/2097151/1600289/2097151/2097151/2097151/1464659/2097151/2097151/1390264/2097151/1657677/2097151/1378587/1614889/2097151/2097151/1503529/2097151/2097151/2097151/1261038/2097151/2097151/1862904/2097151/2097151/2097151/2097151/2097151/2097151/2097151/2097151/2097151/1885205/2097151/2097151/2097151/1534844/2097151/1633348/2097151/2097151/2097151/2097151/2097151/1521606,/192.168.32.180.56580>74.125.164.168.443/192.168.32.180.56564>74.125.164.168.443,0,1,2,0,150,/1/149,/192.168.32.180.56580>74.125.164.168.443/192.168.32.180.56564>74.125.164.168.443
E:\\pcap_data\\VBR_dataset1\\mitm\10_2023_04_08_05_58_21,302,video,https://www.youtube.com/watch?v=5b_lIKhvThM,720p50,600,/4580/664236/619383/664236/990788/1858505/2097151/1877912/1963792/1872184/2092070/1651630/1445968/1378602/1999615/1846595/1633341/2097151/1869505/1982076/1315744/1441544/1542399/1559377/1644420/1752780/1697889/2024947/1590943/1730296/2097151/1694307/2014123/1637702/2045264/1590235/1289254/2097151/2009408/1796443/1872658/1778041/1559861/2097151/2054870/2097151/1823878/1570019/1625707/1712422/1643640/1593918/1608255/1821291/2097151/2083471/1418747/1712130/1671661/1676351/1297072/1528190/2097151/1627562/2042276/2094826/1471673/2059116,/192.168.32.180.56657>173.194.4.7.443/192.168.32.180.56658>173.194.4.7.443,0,1,2,0,68,/1/67,/192.168.32.180.56657>173.194.4.7.443/192.168.32.180.56658>173.194.4.7.443
